station_id,place_id,name,distance,address,city,postal,review_count,rating,category_id,category_name,query_categories
a9f0b06d07f89b75e92c0cf686223aea,dtYmLpvyY0dwEFrYLSZZCQ,Nelson Park,541.4314807167242,1030 Bute St,Vancouver,V6E,27.0,3.5,dog_parks,Dog Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,tzUw_wiTr7CcDBKq4YK5XA,Davie Village Community Garden,812.7366103654059,Davie St And Burrard St,Vancouver,V6Z 1Y9,5.0,2.0,gardens|parks,Botanical Gardens|Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,XAKULkvx3NBAMoBZHov0xA,Barclay Heritage Square,601.2891057085482,1433 Barclay Street,Vancouver,V6G 1J6,1.0,4.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,07geewQvderr61mRx9mjmA,Smithe-Richards Downtown Park,844.3542296027557,872 Richards St,Vancouver,V6B 3B4,1.0,5.0,parks|playgrounds,Parks|Playgrounds,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,5-3wyrIOYInzwEZHTQP9nw,Yaletown Park,1062.5421318960261,901 Mainland Street,Vancouver,V6B 1T2,8.0,2.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,FqPfBcBh9r_HmW6FZA1_gQ,Devonian Harbour Park,1212.1111052457409,1929 W Georgia Street,Vancouver,V6G 2W9,1.0,4.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,FpXp_Knu7QK5AI-vbZTKBA,Barclay Manor,636.742139740091,1447 Barclay Street,Vancouver,V6G 1J6,1.0,4.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,bFQBBVUNF3wY6e4RMysDxw,Rotery Beach Park,1002.4756735145513,Richards Davie Street,Vancouver,V6E 4L2,1.0,3.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,-nnbiBMMbT5gj4zVnxvyuA,Cathedral Square,837.3789950945304,566 Richards Street,Vancouver,V6B 1X4,2.0,3.0,parks,Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,42Tg2jf217mRb_rqYpKAbw,Stanley Park Shuffleboard Court Area - Gated Off-lease Dog Park,1336.1831735033006,2000 W Georgia Street,Vancouver,V6G,1.0,3.0,dog_parks,Dog Parks,"beaches,parks,bicyclepaths,mountainbiking"
a9f0b06d07f89b75e92c0cf686223aea,h7H3QdzykDSYzY29Hk3LvQ,Vancouver Art Gallery,422.6899277031106,750 Hornby Street,Vancouver,V6Z 2H7,188.0,3.5,artmuseums,Art Museums,museums
a9f0b06d07f89b75e92c0cf686223aea,f1H0R3PH2JY2z6eo6U3w1A,Bill Reid Gallery of Northwest Coast Art,369.08556935138057,639 Hornby Street,Vancouver,V6C 2G3,14.0,4.5,museums|galleries,Museums|Art Galleries,museums
a9f0b06d07f89b75e92c0cf686223aea,O0Zly_wPXAYsl57__GKzww,Roedde House Museum,592.3749610743467,1415 Barclay Street,Vancouver,V6G 1J6,13.0,4.0,museums,Museums,museums
a9f0b06d07f89b75e92c0cf686223aea,MvZWVmSAsTKKYuHPOcAkXQ,Shangri-La,34.31818767703793,1128 W Georgia Street,Vancouver,V6E 0A8,105.0,4.5,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,eZzkZw5KCDreq7kor4_WUg,Loden Hotel,194.39713836554432,1177 Melville Street,Vancouver,V6E 0A3,154.0,4.5,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,8snL4a-AN2JHWxgK62riUQ,Hyatt Regency Vancouver,270.07055619107115,655 Burrard Street,Vancouver,V6C 2R7,302.0,4.0,hotels|venues,Hotels|Venues & Event Spaces,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,WGdCrG3tW3RIlnZkaA5I8A,Paradox Hotel Vancouver,83.42052676309929,1161 W Georgia Street,Vancouver,V6E 0C6,21.0,4.5,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,1ZWwVOwu2BI7v7Hh-PlDGQ,Vancouver Marriott Pinnacle Downtown Hotel,318.7507558362262,1128 West Hastings Street,Vancouver,V6E 4R5,185.0,4.0,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,tVtabcnjDgscp7g54HdTdw,Blue Horizon Hotel,238.6484006289915,1225 Robson Street,Vancouver,V6E 1C2,138.0,4.0,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,wfBQO46asX0DLpS0SlSACw,Coast Coal Harbour Vancouver Hotel by APA,293.8738133595585,1180 West Hastings,Vancouver,V6E 4R5,85.0,4.0,hotels|venues,Hotels|Venues & Event Spaces,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,jBxdh-9KXvNf5YUBsxTP0g,Fairmont Pacific Rim,564.030519468047,1038 Canada Place Way,Vancouver,V6C 0B9,257.0,4.5,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,4mR255_3-j7g24ZylLFX2A,Fairmont Hotel Vancouver,341.6953196304747,900 West Georgia Street,Vancouver,V6C 2W6,255.0,3.5,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,D6LNse4cYkf_e-U6zJdgBA,Wedgewood Hotel,409.47689360967206,845 Hornby Street,Vancouver,V6Z 1V1,79.0,4.5,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,ESYgaAU5w7wdvhhHs3Wwsg,Rosewood Hotel Georgia,453.21355783910866,801 W Georgia Street,Vancouver,V6C 1P7,124.0,4.5,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,kmlTLQBg8Ujh75_UZrmRWw,The Sutton Place Hotel,359.02567790871444,845 Burrard St,Vancouver,V6Z 2K6,255.0,4.0,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,PSoOJqgIXe7z9_Wpbb_Lxw,Pinnacle Hotel Harbourfront,377.1999403385285,1133 W Hastings Street,Vancouver,V6E 3T3,136.0,3.5,hotels,Hotels,"hostels,hotels"
a9f0b06d07f89b75e92c0cf686223aea,E1FGWviFkHNH9NfnxAEaVw,Executive Hotel LeSoleil,427.34065006161455,567 Hornby Street,Vancouver,V6C 2E8,88.0,4.5,hotels,Hotels,"hostels,hotels"
